index,descriptors,relative_frequency
"Riesling, Pfalz, Germany",honey,0.10
"Chardonnay, Gisborne, New Zealand",apple,0.11
"White Blend, Napa Valley, North Coast, California, USA",fruit,0.15
"Cabernet Sauvignon, Napa-Sonoma, North Coast, California, USA",fruit,0.09
"Chardonnay, Auckland, New Zealand",oak,0.13
"Merlot, Santa Barbara, Central Coast, California, USA",ripe,0.12
"Cabernet Sauvignon, Long Island, New York, USA",toast,0.11
"Syrah, Hawkes Bay, New Zealand",cherry,0.09
"Grenache, Columbia Valley, Washington, USA",raspberry,0.08
"Syrah, Santa Barbara, Central Coast, California, USA",cherry,0.08
"Cabernet Sauvignon, Galilee, Israel",blackberry,0.07
"Chardonnay, Monterey, Central Coast, California, USA",fruit,0.08
"Riesling, Nahe, Germany",smoke,0.10
"Petite Sirah, Sonoma Valley, North Coast, California, USA",fruit,0.09
"Chardonnay, Santa Barbara, Central Coast, California, USA",pineapple,0.08
"Sauvignon Blanc, Columbia Valley, Washington, USA",steel,0.10
"Sauvignon Blanc, Sierra Foothills, California, USA",oak,0.09
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",fruit,0.12
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",smoke,0.11
"Sauvignon Blanc, Steiermark, Austria",herb,0.09
"Pinot Noir, Canterbury and Waipara, New Zealand",fruit,0.13
"Pinot Noir, Central Otago, New Zealand",herb,0.07
"Sauvignon Blanc, Nelson, New Zealand",sweat,0.08
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",apple,0.06
"Cabernet Franc, Finger Lakes, New York, USA",fruit,0.06
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",cherry,0.07
"Merlot, Coastal Region, South Africa",pepper,0.06
"Riesling, Columbia Valley, Washington, USA",spice,0.07
"Chardonnay, Napa Valley, North Coast, California, USA",fruit,0.06
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",fruit,0.10
"Sauvignon Blanc, Long Island, New York, USA",grapefruit,0.15
"Sauvignon Blanc, Limari Valley, Coquimbo Region, Chile",asparagus,0.09
"Syrah, Coastal Region, South Africa",fruit,0.08
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",cherry,0.09
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",blackberry,0.12
"Chardonnay, Coastal Region, South Africa",tropical_fruit,0.07
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",vanilla,0.06
"Merlot, Colchagua Valley, Central Valley, Chile",cherry,0.07
"Petite Sirah, Sierra Foothills, California, USA",currant,0.09
"Riesling, Marlborough, New Zealand",ripe,0.10
"Merlot, Monterey, Central Coast, California, USA",berry,0.07
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",fruit,0.09
"Merlot, Finger Lakes, New York, USA",cooked,0.09
"Pinot Grigio, Marlborough, New Zealand",fruit,0.06
"Syrah, Colchagua Valley, Central Valley, Chile",oak,0.05
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",fruit,0.09
"Merlot, Maule Valley, Central Valley, Chile",oak,0.07
"Chardonnay, Hawkes Bay, New Zealand",oak,0.09
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",cherry,0.07
"Chardonnay, Colchagua Valley, Central Valley, Chile",apple,0.12
"Riesling, Mosel, Germany",ripe,0.08
"Zinfandel, Napa Valley, North Coast, California, USA",blackberry,0.12
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",oak,0.06
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",melon,0.10
"Riesling, Willamette Valley, Oregon, USA",citrus,0.11
"Gruner Veltliner, Burgenland, Austria",citrus,0.07
"Syrah, Monterey, Central Coast, California, USA",cherry,0.10
"Pinot Grigio, San Luis Obispo, Central Coast, California, USA",fruit,0.15
"Pinot Noir, Burgenland, Austria",fruit,0.10
"Riesling, Central Otago, New Zealand",honey,0.10
"Riesling, Canterbury and Waipara, New Zealand",fruit-forward,0.08
"Cabernet Sauvignon, Coastal Region, South Africa",fruit,0.07
"Pinot Grigio, Willamette Valley, Oregon, USA",spice,0.10
"Chardonnay, Finger Lakes, New York, USA",toast,0.07
"Chardonnay, Maule Valley, Central Valley, Chile",oak,0.11
"Cabernet Franc, Columbia Valley, Washington, USA",cherry,0.06
"Cabernet Franc, Sierra Foothills, California, USA",fruit,0.08
"Merlot, Napa Valley, North Coast, California, USA",fruit,0.10
"Viognier, Santa Barbara, Central Coast, California, USA",pineapple,0.09
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",pineapple,0.08
"Sauvignon Blanc, Wairarapa, New Zealand",grass,0.10
"Chardonnay, Marlborough, New Zealand",ripe,0.08
"Syrah, San Francisco Bay, Central Coast, California, USA",ripe,0.13
"White Blend, Columbia Valley, Washington, USA",spice,0.07
"Chardonnay, San Francisco Bay, Central Coast, California, USA",ripe,0.07
"Merlot, Hawkes Bay, New Zealand",herb,0.13
"Syrah, Napa Valley, North Coast, California, USA",fruit,0.09
"Bordeaux-style Red Blend, Long Island, New York, USA",weed,0.11
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",cherry,0.10
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",fruit,0.06
"Sangiovese, Santa Barbara, Central Coast, California, USA",ripe,0.12
"Chardonnay, San Luis Obispo, Central Coast, California, USA",pineapple,0.09
"Syrah, Inland Valleys, California, USA",fruit,0.11
"Syrah, Cachapoal Valley, Central Valley, Chile",cherry,0.06
"Pinot Grigio, Columbia Valley, Washington, USA",apple,0.07
"Syrah, Alentejo, Portugal",fruit,0.09
"Gruner Veltliner, Niederosterreich, Austria",spice,0.09
"Chardonnay, Inland Valleys, California, USA",peach,0.07
"Malbec, Columbia Valley, Washington, USA",berry,0.05
"Pinot Grigio, Southern Oregon, Oregon, USA",apple,0.11
"Tempranillo, Inland Valleys, California, USA",smoke,0.11
"Pinot Noir, Niederosterreich, Austria",fruit,0.10
"Cabernet Sauvignon, Finger Lakes, New York, USA",plum,0.06
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",fruit,0.13
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",flower,0.07
"Cabernet Sauvignon, Monterey, Central Coast, California, USA",ripe,0.12
"Pinot Noir, Monterey, Central Coast, California, USA",raspberry,0.11
"Merlot, Paso Robles, Central Coast, California, USA",jam,0.07
"Riesling, Rheinhessen, Germany",minerality,0.05
"Riesling, Rheingau, Germany",honey,0.07
"Pinot Noir, Finger Lakes, New York, USA",fruit,0.08
"Pinot Noir, Santa Barbara, Central Coast, California, USA",raspberry,0.11
"Merlot, Columbia Valley, Washington, USA",ripe,0.06
"Pinot Noir, Wairarapa, New Zealand",savory,0.10
"Merlot, Maipo Valley, Central Valley, Chile",berry,0.08
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",rubber,0.07
"Cabernet Franc, Long Island, New York, USA",berry,0.10
"Sangiovese, Napa Valley, North Coast, California, USA",raspberry,0.07
"Sauvignon Blanc, Coastal Region, South Africa",grass,0.09
"White Blend, Burgenland, Austria",fruit,0.12
"Syrah, Paso Robles, Central Coast, California, USA",cherry,0.10
"Chardonnay, Breede River Valley",apple,0.11
"Syrah, Columbia Valley, Washington, USA",berry,0.05
"Syrah, Columbia Valley, Oregon, USA",fruit,0.11
"Syrah, Sierra Foothills, California, USA",fruit,0.10
"Chardonnay, Paso Robles, Central Coast, California, USA",pineapple,0.12
"Syrah, Southern Oregon, Oregon, USA",cherry,0.09
"Syrah, Maipo Valley, Central Valley, Chile",spice,0.08
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",fruit,0.09
"Chardonnay, Columbia Valley, Washington, USA",lactic,0.09
"Chardonnay, Maipo Valley, Central Valley, Chile",wax,0.07
"Zinfandel, San Francisco Bay, Central Coast, California, USA",fruit,0.08
"Pinot Noir, Napa Valley, North Coast, California, USA",ripe,0.11
"Tempranillo, Sierra Foothills, California, USA",cherry,0.12
"Tempranillo, Columbia Valley, Washington, USA",strawberry,0.08
"Tempranillo, Southern Oregon, Oregon, USA",berry,0.10
"Cabernet Sauvignon, Inland Valleys, California, USA",blackberry,0.09
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",oak,0.07
"Syrah, Casablanca Valley, Aconcagua Region, Chile",lactic,0.10
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",minerality,0.08
"Merlot, Sonoma Valley, North Coast, California, USA",blackberry,0.09
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",oak,0.10
"Grenache, Santa Barbara, Central Coast, California, USA",fruit,0.05
"Zinfandel, Inland Valleys, California, USA",blackberry,0.07
"Merlot, San Francisco Bay, Central Coast, California, USA",blackberry,0.11
"Sauvignon Blanc, Monterey, Central Coast, California, USA",minerality,0.07
"Sauvignon Blanc, Finger Lakes, New York, USA",ripe,0.09
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",lime,0.08
"Syrah, Sonoma Valley, North Coast, California, USA",fruit,0.11
"Chardonnay, Long Island, New York, USA",apple,0.09
"Chardonnay, Sonoma Valley, North Coast, California, USA",minerality,0.08
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",cherry,0.11
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",cherry,0.08
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",herb,0.06
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",cassis,0.11
"Sauvignon Blanc, Cape South Coast, South Africa",grass,0.14
"Syrah, San Luis Obispo, Central Coast, California, USA",pepper,0.14
"Riesling, Niederosterreich, Austria",ripe,0.11
"Zinfandel, Paso Robles, Central Coast, California, USA",berry,0.08
"Riesling, Santa Barbara, Central Coast, California, USA",honey,0.09
"Zinfandel, Columbia Valley, Washington, USA",fruit,0.11
"Zinfandel, Sierra Foothills, California, USA",blackberry,0.08
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",ripe,0.06
"Chardonnay, Willamette Valley, Oregon, USA",ripe,0.06
"Chardonnay, Canterbury and Waipara, New Zealand",flint,0.09
"Chardonnay, Central Otago, New Zealand",banana,0.08
"Viognier, Inland Valleys, California, USA",honey,0.11
"White Blend, Southern Greece, Greece",lemon,0.08
"Sauvignon Blanc, Hawkes Bay, New Zealand",grass,0.15
"Merlot, Southern Oregon, Oregon, USA",oak,0.12
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",fruit,0.08
"Syrah, Breede River Valley",cherry,0.09
"Pinot Noir, Marlborough, New Zealand",fruit,0.06
"Grenache, Paso Robles, Central Coast, California, USA",rose,0.07
"Pinot Noir, Sonoma Valley, North Coast, California, USA",raspberry,0.12
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",ripe,0.08
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",tropical_fruit,0.09
"White Blend, Coastal Region, South Africa",flower,0.07
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",fruit,0.11
"Zinfandel, Sonoma Valley, North Coast, California, USA",blackberry,0.08
"Viognier, Paso Robles, Central Coast, California, USA",tropical_fruit,0.12
"Viognier, Columbia Valley, Washington, USA",fruit,0.09
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",fruit,0.06
"Viognier, Sierra Foothills, California, USA",flower,0.09
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",raspberry,0.08
"Viognier, Southern Oregon, Oregon, USA",citrus,0.13
"Merlot, Rapel Valley, Central Valley, Chile",herb,0.07
"Merlot, Napa-Sonoma, North Coast, California, USA",mint,0.08
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",oily,0.10
"Pinot Noir, Willamette Valley, Oregon, USA",oak,0.05
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",cherry,0.09
"Merlot, Long Island, New York, USA",plum,0.04
"Petite Sirah, Napa Valley, North Coast, California, USA",inky,0.10
"Pinot Noir, San Benito, Central Coast, California, USA",raspberry,0.18
"Syrah, Napa-Sonoma, North Coast, California, USA",pepper,0.11
"Sangiovese, Paso Robles, Central Coast, California, USA",overripe,0.07
"Petite Sirah, Inland Valleys, California, USA",ripe,0.12
"Chardonnay, Napa-Sonoma, North Coast, California, USA",pineapple,0.10
"Sangiovese, Columbia Valley, Washington, USA",strawberry,0.09
"Sangiovese, Sierra Foothills, California, USA",fruit,0.09
"Merlot, Galilee, Israel",fruit,0.08
"Pinot Noir, San Antonio, Aconcagua Region, Chile",mint,0.09
"Viognier, Sonoma Valley, North Coast, California, USA",tropical_fruit,0.10
"Cabernet Sauvignon, Columbia Valley, Washington, USA",herb,0.06
"Sauvignon Blanc, Marlborough, New Zealand",fruit,0.10
"Cabernet Sauvignon, Sierra Foothills, California, USA",fruit,0.14
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",ripe,0.09
"Syrah, Galilee, Israel",oak,0.10
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",stemmy,0.10
"White Blend, Macedonia, Greece",lactic,0.10
"Chardonnay, Burgenland, Austria",lemon,0.08
"Pinot Noir, Paso Robles, Central Coast, California, USA",salinity,0.07
"Riesling, Monterey, Central Coast, California, USA",apple,0.11
"Pinot Noir, Southern Oregon, Oregon, USA",raspberry,0.09
"Malbec, Colchagua Valley, Central Valley, Chile",ripe,0.05
"Riesling, Finger Lakes, New York, USA",ripe,0.07
"Chardonnay, Galilee, Israel",citrus,0.11
"Cabernet Franc, Napa Valley, North Coast, California, USA",fruit,0.08
"Petite Sirah, Paso Robles, Central Coast, California, USA",cherry,0.10
"Merlot, Curico Valley, Central Valley, Chile",ripe,0.12
"Pinot Grigio, Monterey, Central Coast, California, USA",apricot,0.08
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",flower,0.09
"Pinot Grigio, Finger Lakes, New York, USA",flower,0.08
"Pinot Noir, Nelson, New Zealand",oak,0.09
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",minerality,0.10
"Bordeaux-style Red Blend, Coastal Region, South Africa",smoke,0.08
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",leather,0.06
"Sangiovese, Sonoma Valley, North Coast, California, USA",candy,0.05
"Riesling, Pfalz, Germany",lime,0.08
"Chardonnay, Gisborne, New Zealand",oak,0.11
"White Blend, Napa Valley, North Coast, California, USA",apple,0.10
"Cabernet Sauvignon, Napa-Sonoma, North Coast, California, USA",ripe,0.09
"Chardonnay, Auckland, New Zealand",toast,0.13
"Merlot, Santa Barbara, Central Coast, California, USA",fruit,0.07
"Cabernet Sauvignon, Long Island, New York, USA",berry,0.08
"Syrah, Hawkes Bay, New Zealand",jam,0.06
"Grenache, Columbia Valley, Washington, USA",spice,0.07
"Syrah, Santa Barbara, Central Coast, California, USA",fruit,0.08
"Cabernet Sauvignon, Galilee, Israel",fruit,0.07
"Chardonnay, Monterey, Central Coast, California, USA",pineapple,0.07
"Riesling, Nahe, Germany",fruit,0.10
"Petite Sirah, Sonoma Valley, North Coast, California, USA",berry,0.06
"Chardonnay, Santa Barbara, Central Coast, California, USA",lactic,0.06
"Sauvignon Blanc, Columbia Valley, Washington, USA",ripe,0.07
"Sauvignon Blanc, Sierra Foothills, California, USA",lemon,0.07
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",pepper,0.10
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",blueberry,0.09
"Sauvignon Blanc, Steiermark, Austria",fruit,0.07
"Pinot Noir, Canterbury and Waipara, New Zealand",cherry,0.13
"Pinot Noir, Central Otago, New Zealand",flower,0.06
"Sauvignon Blanc, Nelson, New Zealand",citrus,0.06
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",minerality,0.05
"Cabernet Franc, Finger Lakes, New York, USA",smoke,0.06
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",fruit,0.06
"Merlot, Coastal Region, South Africa",jam,0.06
"Riesling, Columbia Valley, Washington, USA",juicy,0.06
"Chardonnay, Napa Valley, North Coast, California, USA",pineapple,0.06
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",cherry,0.09
"Sauvignon Blanc, Long Island, New York, USA",ripe,0.12
"Sauvignon Blanc, Limari Valley, Coquimbo Region, Chile",peach,0.09
"Syrah, Coastal Region, South Africa",pepper,0.08
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",fruit,0.06
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",oak,0.09
"Chardonnay, Coastal Region, South Africa",citrus,0.06
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",smoke,0.06
"Merlot, Colchagua Valley, Central Valley, Chile",dust,0.07
"Petite Sirah, Sierra Foothills, California, USA",yeast,0.07
"Riesling, Marlborough, New Zealand",flower,0.06
"Merlot, Monterey, Central Coast, California, USA",fruit,0.05
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",raspberry,0.08
"Merlot, Finger Lakes, New York, USA",burnt,0.09
"Pinot Grigio, Marlborough, New Zealand",melon,0.06
"Syrah, Colchagua Valley, Central Valley, Chile",fruit,0.05
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",honey,0.07
"Merlot, Maule Valley, Central Valley, Chile",cherry,0.07
"Chardonnay, Hawkes Bay, New Zealand",lactic,0.08
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",fruit,0.05
"Chardonnay, Colchagua Valley, Central Valley, Chile",melon,0.05
"Riesling, Mosel, Germany",minerality,0.05
"Zinfandel, Napa Valley, North Coast, California, USA",raspberry,0.07
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",cherry,0.05
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",grapefruit,0.08
"Riesling, Willamette Valley, Oregon, USA",apple,0.07
"Gruner Veltliner, Burgenland, Austria",pepper,0.07
"Syrah, Monterey, Central Coast, California, USA",fruit,0.09
"Pinot Grigio, San Luis Obispo, Central Coast, California, USA",ripe,0.12
"Pinot Noir, Burgenland, Austria",ripe,0.08
"Riesling, Central Otago, New Zealand",lime,0.10
"Riesling, Canterbury and Waipara, New Zealand",apple,0.08
"Cabernet Sauvignon, Coastal Region, South Africa",herb,0.06
"Pinot Grigio, Willamette Valley, Oregon, USA",apple,0.09
"Chardonnay, Finger Lakes, New York, USA",oak,0.07
"Chardonnay, Maule Valley, Central Valley, Chile",peach,0.07
"Cabernet Franc, Columbia Valley, Washington, USA",spice,0.06
"Cabernet Franc, Sierra Foothills, California, USA",ripe,0.08
"Merlot, Napa Valley, North Coast, California, USA",blackberry,0.07
"Viognier, Santa Barbara, Central Coast, California, USA",ripe,0.08
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",oak,0.07
"Sauvignon Blanc, Wairarapa, New Zealand",ripe,0.08
"Chardonnay, Marlborough, New Zealand",fruit,0.07
"Syrah, San Francisco Bay, Central Coast, California, USA",berry,0.04
"White Blend, Columbia Valley, Washington, USA",flower,0.06
"Chardonnay, San Francisco Bay, Central Coast, California, USA",lees,0.05
"Merlot, Hawkes Bay, New Zealand",coffee,0.09
"Syrah, Napa Valley, North Coast, California, USA",pepper,0.08
"Bordeaux-style Red Blend, Long Island, New York, USA",blackberry,0.08
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",currant,0.06
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",herb,0.05
"Sangiovese, Santa Barbara, Central Coast, California, USA",jam,0.11
